"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","609","Api Testing","chromium","2026-06-19","passed","2026-06-19","","apiTesting.spec.js","",""
"","22838","login with valid credentials","chromium","2026-06-17","passed","2026-06-17","","demoblaze.spec.js","",""
"","5915","sample test","chromium","2026-06-19","passed","2026-06-19","","rsAcademy.spec.js","",""
